TUUB 	21 	Universitätsbibliothek Tübingen 	aktiv 	1
KNBSZB   	   576/1      Bibliothek des BSZ / Handbibliotheken der Mitarbeiter                                  aktiv          17
KALB     	   31         Badische Landesbibliothek                                                              aktiv          18
TUIXTH   	   Tü 135     Index theologicus (IxTheo) der Universitätsbibliothek Tübingen                         aktiv          19
C1UB     	   Ch 1       Universitätsbibliothek Chemnitz                                                        aktiv          20
ULUB     	   289        Kommunikations- u. Informationszentrum Universität Ulm (kiz)                           aktiv          21
KABV     	   Ka 26      Bundesverfassungsgericht                                                               aktiv          23
HDBSXR   	   B 208      Max-Planck-Institut für ausländisches öffentliches Recht und Völkerrecht, Heidelberg   aktiv          24
FR129    	   Frei 129   Pädagogische Hochschule Freiburg                                                       aktiv          25
S2U110   	   100/110    Universität Hohenheim, Institut für Angewandte Mathematik und Statistik                aktiv          26
S2U120   	   100/120    Universität Hohenheim, Institut für Physik und Meteorologie                            aktiv          26
S2U130   	   100/130    Universität Hohenheim, Institut für Chemie                                             aktiv          26
S2U140   	   100/140    Universität Hohenheim, Institut für Biologische Chemie u. Ernährungswiss.              aktiv          26
S2U150   	   100/150    Universität Hohenheim, Institut für Lebensmittelwissenschaft und Biotechnologie        aktiv          26
S2U152   	   100/152    Universität Hohenheim, Forschungs- und Lehrmolkerei                                    aktiv          26
S2U160   	   100/160    Universität Hohenheim, Inst. f. Didaktik d. Naturwissenschaften u. Informatik          aktiv          26
S2U170   	   100/170    Universität Hohenheim, Institut für Lebensmittelchemie                                 aktiv          26
S2U180   	   100/180    Universität Hohenheim, Institut für Ernährungsmedizin                                  aktiv          26
S2U210   	   100/210    Universität Hohenheim, Institut für Botanik                                            aktiv          26
S2U220   	   100/220    Universität Hohenheim, Institut für Zoologie                                           aktiv          26
S2U230   	   100/230    Universität Hohenheim, Institut für Physiologie                                        aktiv          26
S2U240   	   100/240    Universität Hohenheim, Institut für Genetik                                            aktiv          26
S2U250   	   100/250    Institut für Mikrobiologie Hohenheim                                                   aktiv          26
S2U260   	   100/260    Universität Hohenheim, Institut für Physiologie und Biotechnologie der Pflanzen        aktiv          26
S2U301   	   100/301    Universität Hohenheim, Teilstation für Pflanzenbau und Pflanzenschutz                  aktiv          26
S2U303   	   100/303    Teilstation für Pflanzenzüchtung                                                       aktiv          26
S2U305   	   100/305    Universität Hohenheim, Versuchsstation für Obst- u. Gartenbau mit Lehrgärten           aktiv          26
S2U310   	   100/310    Universität Hohenheim, Institut für Bodenkunde und Standortslehre                      aktiv          26
S2U320   	   100/320    Universität Hohenheim, Institut für Landschafts- und Pflanzenökologie                  aktiv          26
S2U330   	   100/330    Universität Hohenheim, Institut für Pflanzenernährung                                  aktiv          26


S2U340   	   100/340   Universität Hohenheim, Institut für Kulturpflanzenwissenschaften                             aktiv          26
S2U350   	   100/350   Universität Hohenheim, Inst. f. Pflanzenzücht., Saatgutforsch. u. Populationsgenetik         aktiv          26
S2U360   	   100/360   Universität Hohenheim, Institut für Phytomedizin                                             aktiv          26
S2U380   	   100/380   Universität Hohenheim, Institut für Pflanzenproduktion und Agrarökologie in den Tropen und   aktiv          26
         	             Subtropen
S2U401   	   100/401   Universität Hohenheim, Teilstation für Nutztierbiologie und Ökologischen Landbau             aktiv          26
S2U402   	   100/402   Universität Hohenheim, Teilstation für Tierhaltung, Tierzüchtung und Kleintierzucht          aktiv          26
S2U410   	   100/410   Universität Hohenheim, Institut für landwirtschaftliche Betriebslehre                        aktiv          26
S2U420   	   100/420   Universität Hohenheim, Institut für Agrarpolitik u. landwirtschaftliche Marktlehre           aktiv          26
S2U421   	   100/421   Universität Hohenheim, Forschungsstelle für Genossenschaftswesen                             aktiv          26
S2U430   	   100/430   Universität Hohenheim, Institut für Sozialwissenschaften des Agrarbereichs                   aktiv          26
S2U440   	   100/440   Universität Hohenheim, Institut für Agrartechnik                                             aktiv          26
S2U450   	   100/450   Universität Hohenheim, Institut für Tierernährung                                            aktiv          26
S2U460   	   100/460   Universität Hohenheim, Inst. f. Umwelt- u. Tierhygiene sowie Tiermedizin mit Tierklinik      aktiv          26
S2U461   	   100/461   Universität Hohenheim, Tierklinik                                                            aktiv          26
S2U470   	   100/470   Universität Hohenheim, Institut für Tierhaltung und Tierzüchtung                             aktiv          26
S2U480   	   100/480   Universität Hohenheim, Institut für Tierproduktion in d. Tropen u. Subtropen                 aktiv          26
S2U490   	   100/490   Universität Hohenheim, Institut für Agrar- u. Sozialökonomie in d. Tropen u. Subtropen       aktiv          26
S2U495   	   100/495   Universität Hohenheim, Institut für Agrartechnik in d. Tropen u. Subtropen                   aktiv          26
S2U502   	   100/502   Universität Hohenheim, Forschungsstelle Glücksspiel                                          aktiv          26
S2U505   	   100/505   Archiv der Universität Hohenheim                                                             aktiv          26
S2U510   	   100/510   Universität Hohenheim, Institut für Financial Management                                     aktiv          26
S2U520   	   100/520   Universität Hohenheim, Institut für Volkswirtschaftslehre                                    aktiv          26
S2U530   	   100/530   Universität Hohenheim, Institut für Health Care & Public Management                          aktiv          26
S2U540   	   100/540   Universität Hohenheim, Institut für Kommunikationswissenschaft                               aktiv          26
S2U541   	   100/541   Universität Hohenheim, Forschungsstelle für internationale wirtschaftl. Entwickl.            aktiv          26
S2U550   	   100/550   Universität Hohenheim, Institut für Rechts- und Sozialwissenschaften                         aktiv          26
S2U551   	   100/551   Universität Hohenheim, Forschungsstelle für Agrar- und Umweltrecht                           aktiv          26
